Employee ID,Month,Year,Basic Salary,Allowances,Deductions,Net Salary,Payment Status,Payment Date
EMP1001,January,2024,45000,3500,2500,46000,Paid,2024-01-30
EMP1002,January,2024,38000,2800,1800,39000,Paid,2024-01-30
EMP1003,January,2024,42000,3200,2200,43000,Paid,2024-01-30
EMP1004,January,2024,40000,3000,2000,41000,Paid,2024-01-30
EMP1005,January,2024,55000,4500,3500,56000,Paid,2024-01-30
EMP1006,January,2024,42000,3200,2400,42800,Paid,2024-01-30
EMP1007,January,2024,52000,4200,3100,53100,Paid,2024-01-30
EMP1008,January,2024,39000,2900,2100,39800,Paid,2024-01-30
EMP1009,January,2024,36000,2600,1700,36900,Paid,2024-01-30
EMP1010,January,2024,41000,3100,2300,41800,Paid,2024-01-30
